comb,day,type,obs
T4,0,solomale,124
T4,3,solomale,59
T5,0,solomale,288
T5,3,solomale,80
T6,0,solomale,231
T6,3,solomale,69
T7,0,solomale,219
T7,3,solomale,133
T8,0,solomale,248
T8,3,solomale,90
T9,0,solomale,292
T9,3,solomale,81
T4,0,solofemale,155
T4,3,solofemale,141
T5,0,solofemale,290
T5,3,solofemale,220
T6,0,solofemale,377
T6,3,solofemale,149
T7,0,solofemale,246
T7,3,solofemale,257
T8,0,solofemale,306
T8,3,solofemale,147
T9,0,solofemale,288
T9,3,solofemale,167
T4,0,heterotandem,41
T4,3,heterotandem,108
T5,0,heterotandem,12
T5,3,heterotandem,101
T6,0,heterotandem,58
T6,3,heterotandem,89
T7,0,heterotandem,33
T7,3,heterotandem,72
T8,0,heterotandem,19
T8,3,heterotandem,86
T9,0,heterotandem,3
T9,3,heterotandem,108
T4,0,maletandem,7
T4,3,maletandem,2
T5,0,maletandem,6
T5,3,maletandem,2
T6,0,maletandem,8
T6,3,maletandem,5
T7,0,maletandem,5
T7,3,maletandem,8
T8,0,maletandem,4
T8,3,maletandem,8
T9,0,maletandem,6
T9,3,maletandem,5
T4,0,femaletandem,0
T4,3,femaletandem,0
T5,0,femaletandem,0
T5,3,femaletandem,1
T6,0,femaletandem,1
T6,3,femaletandem,0
T7,0,femaletandem,0
T7,3,femaletandem,0
T8,0,femaletandem,0
T8,3,femaletandem,2
T9,0,femaletandem,0
T9,3,femaletandem,3
T4,0,tandem3,6
T4,3,tandem3,11
T5,0,tandem3,1
T5,3,tandem3,18
T6,0,tandem3,4
T6,3,tandem3,14
T7,0,tandem3,5
T7,3,tandem3,9
T8,0,tandem3,0
T8,3,tandem3,16
T9,0,tandem3,0
T9,3,tandem3,11
T4,0,nestmate,23
T4,3,nestmate,50
T5,0,nestmate,7
T5,3,nestmate,55
T6,0,nestmate,19
T6,3,nestmate,47
T7,0,nestmate,14
T7,3,nestmate,33
T8,0,nestmate,12
T8,3,nestmate,44
T9,0,nestmate,1
T9,3,nestmate,39
T4,0,non-nest,18
T4,3,non-nest,58
T5,0,non-nest,5
T5,3,non-nest,46
T6,0,non-nest,39
T6,3,non-nest,42
T7,0,non-nest,19
T7,3,non-nest,39
T8,0,non-nest,7
T8,3,non-nest,42
T9,0,non-nest,2
T9,3,non-nest,69
