colony,rep,ID,treat,egg,larvae,male,female,foundation,offspring
163,1,163-0day-1,0day,8,5,1,1,1,13
163,2,163-0day-2,0day,12,5,1,1,1,17
163,3,163-0day-3,0day,1,0,1,0,0,1
163,4,163-0day-4,0day,14,2,1,1,1,16
163,5,163-0day-5,0day,10,2,1,1,1,12
163,6,163-0day-6,0day,7,0,1,1,1,7
163,7,163-0day-7,0day,11,3,1,1,1,14
163,8,163-0day-8,0day,0,0,1,0,0,0
163,9,163-0day-9,0day,11,3,1,1,1,14
163,10,163-0day-10,0day,3,3,1,0,0,6
163,11,163-0day-11,0day,15,3,1,1,1,18
163,12,163-0day-12,0day,11,3,0,1,0,14
163,1,163-3day-1,3day,11,2,1,1,1,13
163,2,163-3day-2,3day,13,0,1,1,1,13
163,3,163-3day-3,3day,8,4,1,1,1,12
163,4,163-3day-4,3day,17,3,1,1,1,20
163,5,163-3day-5,3day,6,0,1,0,0,6
163,6,163-3day-6,3day,8,0,1,1,1,8
163,7,163-3day-7,3day,9,3,1,1,1,12
163,8,163-3day-8,3day,12,5,1,1,1,17
163,9,163-3day-9,3day,14,2,1,1,1,16
163,10,163-3day-10,3day,14,3,1,1,1,17
163,11,163-3day-11,3day,7,0,1,1,1,7
163,12,163-3day-12,3day,9,1,1,1,1,10
165,1,165-0day-1,0day,15,6,1,1,1,21
165,2,165-0day-2,0day,20,4,1,1,1,24
165,3,165-0day-3,0day,19,3,1,1,1,22
165,4,165-0day-4,0day,10,4,1,1,1,14
165,5,165-0day-5,0day,16,5,1,1,1,21
165,6,165-0day-6,0day,16,4,1,1,1,20
165,7,165-0day-7,0day,14,5,1,1,1,19
165,8,165-0day-8,0day,14,3,1,1,1,17
165,9,165-0day-9,0day,16,6,1,1,1,22
165,10,165-0day-10,0day,14,4,1,1,1,18
165,11,165-0day-11,0day,15,3,1,1,1,18
165,12,165-0day-12,0day,20,5,1,1,1,25
165,1,165-3day-1,3day,13,6,1,1,1,19
165,2,165-3day-2,3day,17,3,1,1,1,20
165,3,165-3day-3,3day,0,0,1,1,1,0
165,4,165-3day-4,3day,17,2,1,1,1,19
165,5,165-3day-5,3day,13,6,1,1,1,19
165,6,165-3day-6,3day,11,6,1,1,1,17
165,7,165-3day-7,3day,12,6,1,1,1,18
165,8,165-3day-8,3day,13,5,1,1,1,18
165,9,165-3day-9,3day,13,5,1,1,1,18
165,10,165-3day-10,3day,0,0,0,0,0,0
165,11,165-3day-11,3day,16,4,1,1,1,20
165,12,165-3day-12,3day,10,3,1,1,1,13
166,1,166-0day-1,0day,14,5,1,1,1,19
166,2,166-0day-2,0day,18,6,1,1,1,24
166,3,166-0day-3,0day,12,6,1,1,1,18
166,4,166-0day-4,0day,16,5,1,1,1,21
166,5,166-0day-5,0day,9,5,1,1,1,14
166,6,166-0day-6,0day,18,4,1,1,1,22
166,7,166-0day-7,0day,13,7,1,1,1,20
166,8,166-0day-8,0day,17,4,1,1,1,21
166,9,166-0day-9,0day,14,6,1,1,1,20
166,10,166-0day-10,0day,16,6,1,1,1,22
166,11,166-0day-11,0day,11,7,1,1,1,18
166,12,166-0day-12,0day,16,6,1,1,1,22
166,1,166-3day-1,3day,0,0,0,0,0,0
166,2,166-3day-2,3day,0,0,0,0,0,0
166,3,166-3day-3,3day,0,0,0,0,0,0
166,4,166-3day-4,3day,0,0,0,0,0,0
166,5,166-3day-5,3day,10,4,0,1,0,14
166,6,166-3day-6,3day,17,8,1,1,1,25
166,7,166-3day-7,3day,15,0,1,1,1,15
166,8,166-3day-8,3day,3,0,1,0,0,3
166,9,166-3day-9,3day,13,5,1,1,1,18
168,1,168-0day-1,0day,13,4,1,1,1,17
168,2,168-0day-2,0day,9,3,1,1,1,12
168,3,168-0day-3,0day,12,5,1,1,1,17
168,4,168-0day-4,0day,14,5,1,1,1,19
168,5,168-0day-5,0day,14,4,1,1,1,18
168,6,168-0day-6,0day,14,3,1,1,1,17
168,7,168-0day-7,0day,14,5,1,1,1,19
168,8,168-0day-8,0day,0,0,1,0,0,0
168,9,168-0day-9,0day,14,5,1,1,1,19
168,1,168-3day-1,3day,0,0,0,0,0,0
168,2,168-3day-2,3day,13,3,1,1,1,16
168,3,168-3day-3,3day,9,4,1,1,1,13
168,4,168-3day-4,3day,14,4,0,1,0,18
168,5,168-3day-5,3day,14,4,1,1,1,18
168,6,168-3day-6,3day,0,0,0,0,0,0
